atc_index,atc_code
412,A06AX
413,A06AX01
414,A06AX02
415,A06AX03
416,A06AX04
417,A06AX05
418,A06AX06
419,A06AX07
420,A06AX08
421,A07
422,A07A
423,A07AA
424,A07AA01
425,A07AA02
426,A07AA03
427,A07AA04
428,A07AA05
429,A07AA06
430,A07AA07
431,A07AA08
432,A07AA09
433,A07AA10
434,A07AA11
435,A07AA12
436,A07AA13
437,A07AA51
438,A07AA54
439,A07AB
440,A07AB02
441,A07AB03
442,A07AB04
443,A07AC
444,A07AC01
445,A07AX
446,A07AX01
447,A07AX02
448,A07AX03
449,A07AX04
450,A07B
451,A07BA
452,A07BA01
453,A07BA51
454,A07BB
455,A07BC
456,A07BC01
457,A07BC02
458,A07BC03
459,A07BC04
460,A07BC05
461,A07BC30
462,A07BC54
463,A07C
464,A07CA
465,A07D
466,A07DA
467,A07DA01
468,A07DA02
469,A07DA03
470,A07DA04
471,A07DA05
472,A07DA06
473,A07DA52
474,A07DA53
475,A07E
476,A07EA
477,A07EA01
478,A07EA02
479,A07EA03
480,A07EA04
481,A07EA05
482,A07EA06
483,A07EA06
484,A07EA07
485,A07EB
486,A07EB01
487,A07EC
488,A07EC01
489,A07EC01
490,A07EC02
491,A07EC02
492,A07EC03
493,A07EC04
494,A07F
495,A07FA
496,A07FA01
497,A07FA02
498,A07FA51
499,A07X
500,A07XA
501,A07XA01
502,A07XA02
503,A07XA03
504,A07XA04
505,A07XA06
506,A07XA51
507,A08
508,A08A
509,A08AA
510,A08AA01
511,A08AA02
512,A08AA03
513,A08AA04
514,A08AA05
515,A08AA06
516,A08AA07
517,A08AA08
518,A08AA09
519,A08AA10
520,A08AA11
521,A08AA56
522,A08AA62
523,A08AB
524,A08AB01
525,A08AX
526,A08AX01
527,A09
528,A09A
529,A09AA
530,A09AA01
531,A09AA02
532,A09AA03
533,A09AA04
534,A09AB
535,A09AB01
536,A09AB02
537,A09AB03
538,A09AB04
539,A09AC
540,A09AC01
541,A09AC02
542,A10
543,A10A
544,A10AB
545,A10AB01
546,A10AB02
